athlete, Positive Counts, Negative Counts, Score
MichaelJordan, 1, 1, 0
BabeRuth, 5, 3, 2
MuhammadAli, 4, 0, 4
JimBrown, 1, 0, 1
WayneGretzky, 1, 0, 1
JesseOwens, 0, 1, -1
JimThorpe, 1, 0, 1
WillieMays, 0, 0, 0
JackNicklaus, 1, 0, 1
BabeDidrikson, 0, 0, 0
JoeLouis, 1, 0, 1
CarlLewis, 0, 1, -1
WiltChamberlain, 0, 1, -1
HankAaron, 0, 1, -1
JackieRobinson, 1, 0, 1
TedWilliams, 0, 0, 0
MagicJohnson, 4, 1, 3
BillRussell, 4, 2, 2
MartinaNavratilova, 0, 0, 0
TyCobb, 0, 1, -1
GordieHowe, 3, 0, 3
JoeDiMaggio, 1, 2, -1
JackieJoynerKersee, 0, 0, 0
SugarRayRobinson, 3, 0, 3
JoeMontana, 1, 0, 1
KareemAbdulJabbar, 3, 0, 3
JerryRice, 5, 0, 5
RedGrange, 0, 0, 0
ArnoldPalmer, 5, 0, 5
LarryBird, 6, 0, 6
BobbyOrr, 0, 1, -1
JohnnyUnitas, 0, 0, 0
MarkSpitz, 2, 0, 2
LouGehrig, 0, 0, 0
Secretariat, 0, 0, 0
OscarRobertson, 0, 0, 0
MickeyMantle, 0, 0, 0
BenHogan, 1, 1, 0
WalterPayton, 1, 1, 0
LawrenceTaylor, 1, 0, 1
WilmaRudolph, 3, 0, 3
SandyKoufax, 0, 0, 0
JuliusErving, 1, 1, 0
BobbyJones, 2, 0, 2
BillTilden, 0, 0, 0
EricHeiden, 0, 0, 0
EdwinMoses, 0, 0, 0
PeteSampras, 0, 0, 0
OJSimpson, 4, 8, -4
ChrisEvert, 0, 0, 0
