Name, Score
OprahWinfrey,1
LadyGaga,8
StevenSpielberg,1
BeyonceKnowles,5
Madonna,6
TaylorSwift,3
BonJovi,0
RogerFederer,4
JustinBieber,3
EllenDeGeneres,5
HughJackman,3
JenniferLopez,5
Rihanna,0
Coldplay,4
TigerWoods,0
LeBronJames,0
SimonCowell,0
KatyPerry,5
DavidBeckham,1
RobertDowneyJr,3
LeonardoDicaprio,2
TylerPerry,0
ChanningTatum,3
KobeBryant,0
DwayneJohnson,7
RyanSeacrest,4
TomCruise,2
MarkWahlberg,-2
SethMacFarlane,-2
DonaldTrump,0
CristianoRonaldo,0
JayZ,1
DrPhilMcGraw,0
GlennBeck,-2
WillSmith,2
BenAffleck,-1
RushLimbaugh,-9
DavidLetterman,1
LionelMessi,0
AdamSandler,1
AngelinaJolie,2
ELJames,0
TobyKeith,-1
JamesPatterson,-2
HowardStern,2
CarrieUnderwood,2
KennyChesney,0
UsainBolt,2
JenniferLawrence,3
DrewBree,2
